id,rank,frequency,active_count,ablation_mse_increase,additive_benefit_share,output_energy
823,64,0.0006508966958428256,38,5.268217308752702e-05,8.962972015189854e-05,5.592730361673158e-05
2303,32,0.00018841746458608108,11,3.592189383457565e-05,8.953852832653483e-05,3.301230398201852e-05
429,128,0.0002740617666706634,16,5.4140626440819086e-05,8.949236662779852e-05,4.521107663843807e-05
1235,32,0.0002398040458368305,14,5.943920030755755e-05,8.932978816240864e-05,5.165943557337539e-05
1024,64,0.000479608091673661,28,5.121177452558343e-05,8.924721080958827e-05,5.897291640077502e-05
1055,64,0.0004110926500059951,24,5.049824202138905e-05,8.919310908750208e-05,6.276555593546174e-05
1073,64,0.0006508966958428256,38,4.6669493300993055e-05,8.901336820824049e-05,5.133931326969471e-05
1053,64,0.0008393141604289067,49,4.948567633451729e-05,8.896999195421634e-05,4.441845385577148e-05
1054,64,0.0004110926500059951,24,4.7099737871658215e-05,8.893301982032611e-05,6.869329324543483e-05
1151,64,0.0003254483479214128,19,4.5308416666200214e-05,8.861447892141381e-05,3.7837034169743976e-05
394,128,0.0005309946729244103,31,3.716807185646907e-05,8.844244774431742e-05,3.801716008825624e-05
981,64,0.0007194121375104914,42,4.3043773546344e-05,8.835093964187583e-05,4.688778824233741e-05
2028,32,0.0005138658125074939,30,5.247329540133519e-05,8.831468838689775e-05,6.173907862062275e-05
1280,32,0.0005309946729244103,31,4.3775998845264326e-05,8.824651920454932e-05,4.263929870210676e-05
1681,32,0.0002740617666706634,16,5.1368220274287614e-05,8.820814429755485e-05,4.387751620596779e-05
1896,32,0.0005995101145920762,35,4.4724166028797434e-05,8.81512548972569e-05,4.3664823512649085e-05
2146,32,0.0003597060687552457,21,5.6179791747113765e-05,8.814557246821681e-05,4.874404443032969e-05
1133,64,0.0004967369520905774,29,4.7524530154125936e-05,8.813503793052853e-05,4.480387643177433e-05
1403,32,0.00044535037083982804,26,4.6420959883302555e-05,8.812824308333052e-05,4.8653953573351374e-05
1480,32,0.0003254483479214128,19,5.6127441620398324e-05,8.805007520014927e-05,5.717135225500768e-05
2415,32,0.0007707987187612408,45,5.1854766915006884e-05,8.769689619133557e-05,4.819178002455773e-05
2424,32,0.00029119062708757987,17,3.648485587141386e-05,8.761433919381826e-05,3.467578925158537e-05
440,128,0.0003597060687552457,21,5.03215790448336e-05,8.759976675960396e-05,4.836739327593474e-05
2075,32,0.000479608091673661,28,4.9935696366190117e-05,8.753686342478176e-05,4.369729817137195e-05
1439,32,0.0005138658125074939,30,3.4785462880189304e-05,8.753189327906449e-05,3.897681064296648e-05
1004,64,0.0002740617666706634,16,3.9859701112821126e-05,8.703921088435515e-05,3.6986564324323214e-05
672,64,0.0007879275791781573,46,4.217121514976581e-05,8.685795562469179e-05,4.6718393783750984e-05
1345,32,0.0007022832770935749,41,4.859712752128574e-05,8.680358676251862e-05,5.0704069067412896e-05
205,256,0.0005138658125074939,30,5.255353762218885e-05,8.678057704672822e-05,4.607475331148119e-05
644,64,0.00037683492917216216,22,3.471303825578036e-05,8.656716521364775e-05,3.4012385457358515e-05
1571,32,0.0010962470666826536,64,4.1685503910867675e-05,8.64808958183283e-05,4.279008890231106e-05
598,64,0.0004110926500059951,24,5.153347072150299e-05,8.636847809884432e-05,5.494302611167159e-05
1847,32,0.0004967369520905774,29,4.748484933413934e-05,8.635880136036106e-05,4.773896152895051e-05
555,128,0.0002398040458368305,14,4.372356588043605e-05,8.630912345645678e-05,2.866407980423678e-05
511,128,0.0004110926500059951,24,5.233862768529476e-05,8.61713834015646e-05,3.119291796476561e-05
2445,32,0.00037683492917216216,22,5.062254893690114e-05,8.592683015447021e-05,4.630345281423648e-05
2437,32,0.0004967369520905774,29,4.866483579711114e-05,8.588944644751972e-05,5.7201310158882596e-05
919,64,0.00025693290625374693,15,5.828833847310705e-05,8.582231841438785e-05,6.258068316719666e-05
924,64,0.0004624792312567445,27,3.871533151446269e-05,8.58180998074407e-05,4.0536005440397176e-05
1996,32,0.00030831948750449634,18,4.972848509750223e-05,8.559533624390777e-05,5.80740477594017e-05
422,128,0.0005481235333413268,32,4.519309376480768e-05,8.553625611892402e-05,3.617070618482094e-05
1019,64,0.0008564430208458231,50,4.6931574293181195e-05,8.530566549297487e-05,5.2094581640464416e-05
2453,32,0.00042822151042291157,25,2.9862411975537973e-05,8.516972746615853e-05,3.025066656596377e-05
387,128,0.0003425772083383293,20,5.179358711774555e-05,8.48952178457856e-05,5.192887202941269e-05
1384,32,0.00025693290625374693,15,5.262800604827325e-05,8.488908932596437e-05,4.917719416398555e-05
1184,64,0.0005995101145920762,35,4.119709009289552e-05,8.484030103171376e-05,5.159919854619864e-05
2042,32,0.004093797639643034,239,3.299115535940761e-05,8.478171356259345e-05,3.338068505703705e-05
612,64,0.00022267518541991402,13,5.566474385987724e-05,8.473448242364581e-05,5.1481258513673e-05
1809,32,0.0003425772083383293,20,2.5306356416528037e-05,8.466091825688595e-05,4.581540827577106e-05
1221,32,0.0002740617666706634,16,4.991549132684219e-05,8.462781779300703e-05,4.505854332831545e-05
397,128,0.00030831948750449634,18,4.8678559568504506e-05,8.433020695104244e-05,3.827182724003728e-05
1256,32,0.0007194121375104914,42,4.8689280298782626e-05,8.423418190025433e-05,4.2329927499063013e-05
673,64,0.00025693290625374693,15,5.63760432764788e-05,8.33667081225802e-05,7.39754953351892e-05
1174,64,0.00042822151042291157,25,4.2888955532737746e-05,8.310457865505425e-05,5.244360749023722e-05
520,128,0.0004110926500059951,24,3.826732276610314e-05,8.310007429552358e-05,4.0783262071485185e-05
1546,32,0.00020554632500299755,12,4.357755310772579e-05,8.303310044154502e-05,4.3653859912024965e-05
2145,32,0.0006166389750089927,36,4.706390362718964e-05,8.281086966918629e-05,5.247399107047227e-05
1503,32,0.00022267518541991402,13,3.994072404236892e-05,8.26985284301427e-05,4.277227292686741e-05
1967,32,0.0003597060687552457,21,4.648197075960086e-05,8.253707930336218e-05,5.146077678708386e-05
1494,32,0.0007879275791781573,46,4.154969385425216e-05,8.247839159748766e-05,4.1536386324913754e-05
1043,64,0.00039396378958907863,23,4.897351598276517e-05,8.24096210622959e-05,3.3263920659537515e-05
1178,64,0.0002398040458368305,14,4.867140128865267e-05,8.240529836073164e-05,4.470357909231734e-05
1657,32,0.00020554632500299755,12,4.4872638676141663e-05,8.211140473889782e-05,4.2409504883760735e-05
738,64,0.0004624792312567445,27,4.6141504010116714e-05,8.205056624060287e-05,4.297757259618893e-05
2309,32,0.000479608091673661,28,4.551574905340409e-05,8.198380565199396e-05,4.292540367704769e-05
1685,32,0.0004110926500059951,24,5.345191778861264e-05,8.177488985358208e-05,5.1551850955815986e-05
136,256,0.00042822151042291157,25,4.3295374182034646e-05,8.170006910641823e-05,5.048602542252206e-05
1940,32,0.0005481235333413268,32,3.559494871285703e-05,8.159879519623712e-05,3.523916435912266e-05
943,64,0.00029119062708757987,17,4.183796636160549e-05,8.156663929963806e-05,3.8788757074941246e-05
785,64,0.00025693290625374693,15,4.307296928789475e-05,8.155759829635542e-05,5.9548928940362126e-05
893,64,0.00039396378958907863,23,3.385716260374266e-05,8.15306404301133e-05,3.398146242757338e-05
1183,64,0.0006508966958428256,38,4.440812829111273e-05,8.133231351787963e-05,4.492064680188776e-05
1036,64,0.0005481235333413268,32,4.518950821836002e-05,8.117517694039251e-05,4.582356653454284e-05
1347,32,0.0005138658125074939,30,5.411145422919755e-05,8.11390042639908e-05,5.2118458619386206e-05
1653,32,0.0005481235333413268,32,4.8756327697861196e-05,8.112278743262605e-05,4.484695822306281e-05
2378,32,0.00042822151042291157,25,3.2860126680522565e-05,8.09750456312198e-05,2.867211383774429e-05
512,128,0.00018841746458608108,11,4.4774839982260995e-05,8.07363887553532e-05,3.4735912703383105e-05
817,64,0.0002398040458368305,14,4.680227918103351e-05,8.062798659739936e-05,5.073577144673965e-05
1276,32,0.00029119062708757987,17,3.471481580394355e-05,8.03362999438847e-05,3.069102898385831e-05
803,64,0.00011990202291841524,7,5.2961430690350656e-05,8.023091991391746e-05,6.506247448652896e-05
881,64,0.0003597060687552457,21,4.073541507869436e-05,8.007589155699501e-05,3.4959911759001254e-05
2278,32,0.0004624792312567445,27,4.747810765527359e-05,8.002788061366316e-05,5.839069523970773e-05
826,64,0.0001370308833353317,8,4.392804511935241e-05,7.979280800548034e-05,3.782022085323933e-05
1506,32,0.00044535037083982804,26,5.6955797696958536e-05,7.979006404971504e-05,5.58765609782082e-05
1046,64,0.00044535037083982804,26,4.772980150457942e-05,7.971663951052027e-05,6.587445063118993e-05
786,64,0.00042822151042291157,25,4.260789040382347e-05,7.938786370127337e-05,3.881346787160148e-05
2347,32,0.00022267518541991402,13,3.062068108707323e-05,7.934068325599818e-05,4.136213434454949e-05
2359,32,0.0004110926500059951,24,3.9943312896110484e-05,7.928444625754548e-05,3.722643362326403e-05
1704,32,0.00011990202291841524,7,3.818522793740972e-05,7.92004741688353e-05,4.221455345716398e-05
1357,32,0.0004110926500059951,24,3.943782609171585e-05,7.898784933979112e-05,3.52486724541592e-05
2057,32,0.0005823812541751597,34,2.1738800094501775e-05,7.86156616758903e-05,3.157991235918308e-05
977,64,0.0005138658125074939,30,4.617590204194443e-05,7.84834856745601e-05,3.751239013791123e-05
340,128,0.00039396378958907863,23,3.3920781780670806e-05,7.84125491185416e-05,4.109711001664684e-05
409,128,0.00017128860416916464,10,5.535649618463194e-05,7.840133343116111e-05,4.4020184493563515e-05
2302,32,0.00037683492917216216,22,5.542342366242923e-05,7.836952866776986e-05,5.823284807713393e-05
494,128,0.0007022832770935749,41,4.6043383254517436e-05,7.83264795199125e-05,4.171131754972689e-05
1919,32,0.0007707987187612408,45,3.899831362910307e-05,7.829044714789393e-05,3.6661945050761755e-05
86,256,0.00030831948750449634,18,4.0221785636210445e-05,7.814256964446731e-05,3.860968128999126e-05
1586,32,0.00025693290625374693,15,4.9787957910864036e-05,7.811190653777402e-05,4.279503353747024e-05
1012,64,0.0005481235333413268,32,3.337522904871792e-05,7.793747238584928e-05,5.3731029148539266e-05
1574,32,0.00022267518541991402,13,2.4641415612229307e-05,7.780356501624833e-05,5.579562537261466e-05
650,64,0.0003425772083383293,20,3.257896492415931e-05,7.729935004794436e-05,3.235580365526021e-05
994,64,0.0002398040458368305,14,3.4414576561642775e-05,7.718866620095793e-05,3.61535497237811e-05
680,64,0.0005995101145920762,35,4.3830936830285675e-05,7.717101289094972e-05,3.12302513448939e-05
1031,64,0.00029119062708757987,17,4.755049732138635e-05,7.694644520120497e-05,4.969207789367387e-05
2318,32,0.0004967369520905774,29,3.8589106809218784e-05,7.659831161719688e-05,3.571662310307894e-05
1567,32,0.0004624792312567445,27,3.812755310895166e-05,7.646484759726395e-05,3.977815127238383e-05
